RL,ND,CA, NP , LPI , CLUMPY , AI , NLSI
2305.015704,19.6021159,4132.39,4245,11.4542,0.6905,79.6792,0.2032
125.8049588,1.107008003,76.45,1373,0.0243,0.5146,51.783,0.4822
120.2187828,1.052783492,185.22,2170,0.0785,0.5858,59.2423,0.4076
281.3117206,2.434624851,769.66,2381,0.9673,0.7631,77.85,0.2215
439.3110993,3.756635236,303.66,1669,0.2119,0.6598,66.8383,0.3316
236.428646,2.108565216,929.24,2123,1.0869,0.7415,76.2635,0.2374
176.4220504,1.547967734,591.13,5436,0.1894,0.6211,64.0467,0.3595
189.0100196,1.675480344,429.16,2498,0.6269,0.6788,69.1022,0.309
662.9543036,5.583306739,160.96,853,0.0394,0.6889,69.303,0.307
485.421804,4.014643461,420.28,8351,0.0544,0.4875,50.5254,0.4947
490.4118112,4.306093773,2710.34,6925,3.0495,0.6839,75.8065,0.2419
79.72122534,0.677487565,187.73,1009,0.4736,0.6567,66.2123,0.3379
118.9573398,1.046903771,311.18,3518,0.0844,0.5781,58.95,0.4105
441.020388,3.873508313,2388.05,7016,1.8281,0.681,74.6949,0.2531
178.5094312,1.593000965,668.74,2206,0.4882,0.7234,73.9728,0.2603
60.86104148,0.539747837,719.46,2787,0.7747,0.6863,70.6037,0.294
320.4564716,2.813191658,1533.94,7290,1.3901,0.6613,70.6233,0.2938
152.2672992,1.333286743,118.46,2193,0.0097,0.4963,50.1448,0.4986
147.748527,1.297040193,672.17,4981,1.3017,0.6592,67.9095,0.3209
861.1262749,7.264434788,1632.1,2886,1.1273,0.7188,75.6443,0.2436
1024.669863,8.671542122,1598.7,2454,3.108,0.7222,75.9829,0.2402
351.3442354,2.978322339,436.03,1445,0.1992,0.706,71.6862,0.2831
162.4105108,1.483124475,948.81,3450,1.2297,0.7137,73.764,0.2624
93.33538273,0.818055992,548.4,925,0.7301,0.8053,81.4378,0.1856
258.2926932,2.305592285,769.56,1648,1.1012,0.7786,79.328,0.2067
120.197231,1.059270748,481.72,4902,0.1469,0.5797,59.7206,0.4028
169.6874737,1.481793711,348.38,3952,0.2132,0.6027,61.4672,0.3853
287.6775704,2.407290646,470.06,1029,1.2985,0.7998,80.7497,0.1925
256.8705044,2.157657308,456.77,1757,0.5464,0.7064,71.7551,0.2824
301.5505724,2.585312461,1096.77,2295,2.7745,0.7192,74.3204,0.2568
71.71586466,0.66656603,465.43,807,1.7179,0.7402,75.1063,0.2489
196.9027043,1.648177494,322.53,1028,0.9509,0.7247,73.1986,0.268
655.6298204,5.516246026,154.81,1572,0.0205,0.6147,61.9705,0.3803
481.2812235,3.986695233,483.81,2320,0.3224,0.6883,70.0619,0.2994
377.1522448,3.549918595,954.33,2404,2.6477,0.7633,78.4508,0.2155
282.2204898,2.40347632,560.74,1781,0.4608,0.7195,73.2597,0.2674
956.4427221,8.413097806,2372.71,6689,1.9261,0.6428,71.6175,0.2838
243.4379826,2.081253086,579.62,1390,2.6451,0.7412,75.372,0.2463
123.8140662,1.095738404,572.45,2135,0.5619,0.7279,74.1446,0.2586
445.0121621,3.803234871,574.26,1353,0.7184,0.7532,76.4977,0.235
161.3946791,1.428535496,794.42,3450,1.6539,0.689,71.0731,0.2893
133.826741,1.179079634,445.92,2366,1.1235,0.6799,69.2083,0.3079
48.28296121,0.42410225,227.52,1867,0.2696,0.6486,65.5413,0.3446
280.7232364,2.389045483,775.1,2518,2.2167,0.7103,72.9359,0.2706
438.2220014,3.961358927,765.85,4834,0.9589,0.6627,68.5171,0.3148
271.7559486,2.327203881,459.34,1304,1.1098,0.7307,74.0942,0.2591
524.0232511,4.334070434,1735.74,3678,0.7381,0.7407,77.7257,0.2227
880.1887552,7.447173545,822.07,2453,1.3293,0.6878,70.9448,0.2906
152.4725603,1.286614009,448.24,2171,0.5592,0.635,64.8783,0.3512
128.5201375,1.083691325,474.2,1380,1.6792,0.6983,71.0214,0.2898
198.1784361,1.856365704,755.45,1294,1.9362,0.758,77.5023,0.225
391.8733916,3.289246405,368.42,1947,0.2184,0.6789,68.8636,0.3114
406.8544717,3.691423147,1484,5987,3.2233,0.6784,72.0973,0.279
226.2368874,1.92870232,281.46,1040,0.3429,0.7153,72.196,0.278
531.4778403,4.399082764,867.88,7170,0.1219,0.6119,63.967,0.3603
194.1984688,1.711467812,582.61,2017,1.0496,0.7192,73.3615,0.2664
115.1518464,0.986967496,530.54,835,2.3878,0.766,77.6416,0.2236
251.5112985,2.107984124,358.69,1093,0.2706,0.7187,72.6944,0.2731
201.4413614,1.823785575,467.16,4328,0.2039,0.6128,62.8577,0.3714
424.2597668,3.854891294,391.79,2242,0.6695,0.6475,65.9719,0.3403
1104.026963,9.342765379,1559.84,3255,1.7347,0.7182,75.5381,0.2446
187.7082854,1.586594324,419.44,1289,1.3059,0.748,75.6726,0.2433
641.7156777,5.545122601,420.23,3344,0.1221,0.623,63.652,0.3635
228.5943845,1.939732407,532.75,1640,1.2689,0.7092,72.2202,0.2778
307.262824,2.814992828,956.76,4102,2.9317,0.7151,74.0034,0.26
328.0752031,2.811446191,526.65,1198,2.5763,0.7356,74.7223,0.2528
106.7928262,0.936906638,326.16,2312,0.1732,0.6418,65.2058,0.3479
167.8690115,1.419829189,417.1,955,2.2817,0.7681,77.603,0.224
194.7866955,1.616436704,495.93,2277,0.1931,0.693,70.5499,0.2945
318.7601983,2.692136018,341.45,1651,0.3571,0.6448,65.5006,0.345
182.483757,1.546204469,129.48,445,0.2069,0.6913,69.4639,0.3054
182.9747436,1.545213601,327.58,1289,1.1759,0.6985,70.6726,0.2933
201.5240459,1.826620211,1152.94,3678,2.4108,0.7179,74.7382,0.2526
358.3316627,3.031852284,349.47,2444,0.0821,0.6541,66.4284,0.3357
226.5737775,1.98733986,334.48,4256,0.1287,0.5762,58.8547,0.4115
153.44818,1.363348779,679.34,1583,2.0077,0.7502,76.5128,0.2349
307.4214777,2.633814842,663.42,2385,0.2022,0.713,72.9102,0.2709
639.8910676,5.431346667,662.27,2374,0.8126,0.6988,71.5596,0.2844
198.357782,1.74986766,702.03,3433,0.3481,0.6544,67.5498,0.3245
155.1563423,1.333873979,434.28,1114,1.2124,0.7332,74.2963,0.257
226.9180362,1.920409544,339.14,964,0.5979,0.7019,71.0372,0.2896
150.8172212,1.268598748,311.02,1504,0.8832,0.6744,68.2802,0.3172
213.0969418,1.802682607,337.57,891,0.5581,0.6804,68.9483,0.3105
109.8892878,0.940521439,293.64,1084,0.3179,0.7111,71.8147,0.2819
524.1359462,4.789947544,858.95,1672,2.1131,0.7302,75.0472,0.2495
205.1745735,1.840682268,341.07,2875,0.1832,0.6295,64.0587,0.3594
129.1650874,1.145677728,432.61,2719,0.2448,0.6474,66.0767,0.3392
134.2215723,1.152000923,364.19,1315,0.5064,0.6949,70.4276,0.2957
289.1268469,2.692104755,336.83,1959,1.1552,0.6976,70.7021,0.293
155.0746809,1.294430295,375.74,1223,0.3052,0.7296,73.8042,0.262
131.8755938,1.191635183,373.85,2192,0.8001,0.6659,67.701,0.323
227.1204746,1.895166436,296.92,1400,0.3831,0.6908,69.8335,0.3017
179.8726901,1.571705862,289.22,1130,0.6152,0.749,75.5282,0.2447
341.967067,2.851573794,365.51,1808,0.3376,0.696,70.5111,0.2949
165.7011834,1.485953014,160.01,803,0.1489,0.707,71.1078,0.2889
106.4422377,0.956716407,431.22,3113,0.2114,0.635,64.6234,0.3538
254.6549035,2.16464663,292.29,880,0.6509,0.7468,75.2942,0.2471
144.9350782,1.27415314,74.86,1541,0.019,0.5049,50.8042,0.492
125.4370388,1.102584424,583.86,1092,1.6608,0.7873,79.7873,0.2021
364.1293965,3.095543317,492.42,2207,0.7835,0.6721,68.5649,0.3144
179.5698583,1.522899894,438.01,1600,1.5249,0.7311,74.1016,0.259
173.511329,1.451432391,261.84,1283,0.4718,0.6919,69.8601,0.3014
133.7616466,1.167436746,469.97,1428,1.5433,0.7315,74.2155,0.2578
340.5044982,2.900471275,422.86,1045,1.3604,0.7237,73.3484,0.2665
87.26824392,0.748684855,398.15,1315,0.6799,0.7021,71.2142,0.2879
154.3953767,1.338771262,222.06,941,0.4813,0.7081,71.3554,0.2864
124.3544434,1.065903078,412.96,706,1.657,0.7762,78.389,0.2161
172.9245985,1.460126264,264,1590,0.4943,0.6278,63.6093,0.3639
436.5163242,3.705638324,768.44,2734,0.6121,0.7054,72.439,0.2756
285.6666808,2.43269313,550.49,1477,0.6082,0.7134,72.6876,0.2731
351.9748606,3.19497175,959.69,1984,1.4661,0.7491,77.0649,0.2294
226.2275006,1.942177861,339.79,598,1.6014,0.7925,79.8325,0.2017
358.4666099,3.029287373,240.91,827,0.1717,0.6698,67.6547,0.3235
179.2966994,1.568392091,352.73,1106,1.0247,0.7485,75.605,0.244
488.1378729,4.128767665,362.61,1936,0.2389,0.6458,65.6631,0.3434
156.2362883,1.318233818,362.61,1936,0.2389,0.6458,65.6631,0.3434
160.4694169,1.454079063,282.31,3914,0.3858,0.5601,57.1047,0.429
307.4747982,2.581995089,420.04,1092,0.9972,0.7085,71.8558,0.2814
131.6262297,1.083147248,444.61,2192,1.4529,0.6898,70.1028,0.299
83.75214653,0.744173918,340.49,3662,0.2108,0.5741,58.6803,0.4132
101.0569281,0.896361967,485.16,1879,0.5809,0.7122,72.4529,0.2755
216.4092996,1.996138503,645.78,1423,1.1812,0.7639,77.771,0.2223
305.3653389,2.588298892,305.96,1317,0.2044,0.6676,67.6227,0.3238
451.0853557,3.826128655,490.57,1889,0.3798,0.6889,70.1795,0.2982
182.023671,1.535397981,278.29,1163,0.7796,0.6885,69.581,0.3042
208.8063796,1.930100872,358.89,972,0.4178,0.7446,75.2784,0.2472
175.1327349,1.490972734,376.12,1980,0.7376,0.6825,69.2635,0.3074
446.7611917,4.040038882,220.91,6215,0.0217,0.3948,40.6595,0.5934
118.1186635,1.069590769,593.86,1394,2.0548,0.7626,77.5075,0.2249
492.8082876,4.476310252,192.05,2036,0.1191,0.5945,60.1411,0.3986
166.4696026,1.489013337,345.23,1152,0.5923,0.7516,75.9065,0.2409
99.48425673,0.884775884,601.01,1729,0.5536,0.7223,73.7033,0.263
97.07883518,0.856282334,467.88,2440,0.2454,0.6762,68.9381,0.3106
